node_id,category,physics_domain,subsystem
175,Parameter,FluidDynamics,General
176,Parameter,GeneralPhysics,General
177,Parameter,GeneralPhysics,General
178,Equation,GeneralPhysics,General
179,Equation,GeneralPhysics,General
180,Parameter,GeneralPhysics,General
181,Parameter,GeneralPhysics,General
182,Equation,GeneralPhysics,General
183,Parameter,Thermodynamics,General
184,Parameter,GeneralPhysics,General
185,Parameter,FluidDynamics,General
186,Parameter,FluidDynamics,General
187,Parameter,FluidDynamics,General
188,Parameter,FluidDynamics,General
189,Parameter,Thermodynamics,General
190,Parameter,Thermodynamics,General
191,Parameter,FluidDynamics,General
192,Parameter,Thermodynamics,General
193,Parameter,FluidDynamics,General
194,Component,GeneralPhysics,Exhaust
195,BoundaryCondition,FluidDynamics,General
196,Parameter,FluidDynamics,General
197,Parameter,GeneralPhysics,General
198,Parameter,FluidDynamics,General
199,Parameter,Thermodynamics,General
200,Parameter,FluidDynamics,General
201,Parameter,FluidDynamics,General
202,Parameter,GeneralPhysics,General
203,Parameter,FluidDynamics,General
204,Parameter,Thermodynamics,General
205,Parameter,FluidDynamics,General
206,Parameter,FluidDynamics,Exhaust
207,Component,FluidDynamics,Exhaust
208,Parameter,FluidDynamics,General
209,Parameter,FluidDynamics,General
210,Parameter,GeneralPhysics,Combustion
211,Parameter,FluidDynamics,General
212,Component,GeneralPhysics,Expansion
213,Parameter,FluidDynamics,General
214,Parameter,FluidDynamics,General
215,Parameter,FluidDynamics,General
216,Parameter,FluidDynamics,General
217,Parameter,GeneralPhysics,General
218,Parameter,GeneralPhysics,Combustion
219,Parameter,FluidDynamics,General
220,Parameter,GeneralPhysics,General
221,Parameter,GeneralPhysics,General
222,Parameter,GeneralPhysics,General
223,Parameter,GeneralPhysics,General
224,Parameter,FluidDynamics,General
225,Parameter,GeneralPhysics,General
226,Parameter,GeneralPhysics,General
227,Parameter,GeneralPhysics,General
228,Parameter,GeneralPhysics,General
229,Parameter,GeneralPhysics,General
230,Parameter,GeneralPhysics,General
231,Parameter,GeneralPhysics,Compression
232,Parameter,FluidDynamics,Combustion
233,Parameter,FluidDynamics,General
234,Component,Thermodynamics,General
235,Component,FluidDynamics,General
236,Parameter,GeneralPhysics,General
237,BoundaryCondition,FluidDynamics,General
238,Component,FluidDynamics,Compression
239,Component,Thermodynamics,Exhaust
240,Parameter,FluidDynamics,General
241,Parameter,FluidDynamics,General
242,Parameter,FluidDynamics,General
243,Parameter,GeneralPhysics,General
244,Parameter,GeneralPhysics,General
245,Parameter,FluidDynamics,General
246,Parameter,FluidDynamics,General
247,Parameter,FluidDynamics,General
248,Parameter,FluidDynamics,General
249,Parameter,GeneralPhysics,General
250,Parameter,FluidDynamics,General
251,Parameter,GeneralPhysics,General
252,Parameter,FluidDynamics,General
253,Parameter,GeneralPhysics,General
254,Parameter,GeneralPhysics,Combustion
255,Parameter,FluidDynamics,General
256,Parameter,GeneralPhysics,General
257,Component,GeneralPhysics,Combustion
258,Parameter,FluidDynamics,General
259,Parameter,GeneralPhysics,General
260,Parameter,FluidDynamics,General
261,Parameter,GeneralPhysics,General
262,Component,GeneralPhysics,Compression
263,Parameter,FluidDynamics,General
264,Component,Thermodynamics,Expansion
265,Parameter,GeneralPhysics,General
266,Parameter,FluidDynamics,General
267,Component,GeneralPhysics,Exhaust
268,Parameter,FluidDynamics,General
269,Parameter,FluidDynamics,General
270,Parameter,Thermodynamics,General
271,Parameter,FluidDynamics,General
272,Parameter,GeneralPhysics,General
273,Parameter,GeneralPhysics,General
274,Parameter,GeneralPhysics,General
275,BoundaryCondition,FluidDynamics,General
276,Parameter,Thermodynamics,Exhaust
277,Parameter,GeneralPhysics,General
278,BoundaryCondition,Thermodynamics,General
279,BoundaryCondition,GeneralPhysics,General
280,Equation,FluidDynamics,Cycle
281,Equation,GeneralPhysics,Cycle
282,Component,Thermodynamics,Expansion
283,Parameter,FluidDynamics,General
284,Component,GeneralPhysics,Expansion
285,Parameter,FluidDynamics,General
286,BoundaryCondition,GeneralPhysics,General
287,BoundaryCondition,GeneralPhysics,General
288,Parameter,FluidDynamics,General
289,BoundaryCondition,GeneralPhysics,General
290,Equation,GeneralPhysics,Compression
291,Equation,GeneralPhysics,Combustion
292,Parameter,GeneralPhysics,General
293,BoundaryCondition,FluidDynamics,General
294,Parameter,GeneralPhysics,General
295,Parameter,GeneralPhysics,General
296,Parameter,FluidDynamics,General
297,Component,FluidDynamics,General
298,BoundaryCondition,FluidDynamics,General
299,Parameter,GeneralPhysics,General
300,Parameter,GeneralPhysics,General
301,Parameter,GeneralPhysics,General
302,Parameter,GeneralPhysics,General
303,Parameter,FluidDynamics,General
304,Component,FluidDynamics,Exhaust
305,BoundaryCondition,Thermodynamics,Expansion
306,Component,GeneralPhysics,General
307,Parameter,FluidDynamics,General
308,Parameter,FluidDynamics,General
309,Parameter,GeneralPhysics,General
310,Equation,GeneralPhysics,General
311,Component,GeneralPhysics,Compression
312,Component,FluidDynamics,Expansion
313,Component,FluidDynamics,Expansion
314,Parameter,FluidDynamics,General
315,Parameter,GeneralPhysics,General
316,Component,FluidDynamics,Compression
317,BoundaryCondition,Thermodynamics,Expansion
318,Parameter,Control,General
319,Parameter,FluidDynamics,General
320,Parameter,GeneralPhysics,General
321,Equation,GeneralPhysics,General
322,Equation,GeneralPhysics,Cycle
323,Component,GeneralPhysics,Exhaust
324,Parameter,GeneralPhysics,General
325,Equation,FluidDynamics,General
326,Parameter,GeneralPhysics,General
327,BoundaryCondition,FluidDynamics,General
328,Parameter,FluidDynamics,General
329,BoundaryCondition,Materials,Expansion
330,BoundaryCondition,FluidDynamics,Combustion
331,Parameter,GeneralPhysics,General
332,Component,GeneralPhysics,General
333,Component,Thermodynamics,Combustion
334,Parameter,FluidDynamics,General
335,Component,GeneralPhysics,Exhaust
336,Parameter,GeneralPhysics,General
337,Parameter,Thermodynamics,General
338,Equation,Control,General
